x	y
1.080e5	0.000
1.086e5	173.904
1.089e5	349.767
1.090e5	1108.898
1.091e5	2751.241
1.092e5	5924.551
1.094e5	11764.268
1.094e5	17718.939
1.095e5	24245.328
1.096e5	33600.141
1.097e5	43292.996
1.098e5	53334.340
1.099e5	57237.770
1.099e5	58483.449
1.099e5	59072.586
1.099e5	59544.477
1.100e5	60403.281
1.100e5	60835.098
1.101e5	60364.180
1.101e5	59674.426
1.101e5	58993.457
1.101e5	58407.250
1.101e5	57281.746
1.102e5	53288.074
1.103e5	43243.168
1.104e5	33612.840
1.105e5	24647.854
1.106e5	17156.189
1.106e5	13252.856
1.108e5	6530.293
1.109e5	2667.220
1.110e5	1013.153
1.112e5	317.524
1.113e5	223.732
1.120e5	0.000
